Quarterly Year,Total Horticulture Production (in million tonnes),Total Horticulture Revenues (in INR billion),Employment (in million),GDP Contribution Percentage from Horticulture
2002 Q1,50.2,310,5.1,2.8
2002 Q2,52.4,320,5.2,2.9
2002 Q3,54.6,330,5.3,3
2002 Q4,56.8,340,5.4,3.1
2003 Q1,59,350,5.5,3.2
2003 Q2,61.2,360,5.6,3.3
2003 Q3,63.4,370,5.7,3.4
2003 Q4,65.6,380,5.8,3.5
2004 Q1,68,390,5.9,3.6
2004 Q2,70.2,400,6,3.7
2004 Q3,72.4,410,6.1,3.8
2004 Q4,74.6,420,6.2,3.9
2005 Q1,77,430,6.3,4
2005 Q2,79.2,440,6.4,4.1
2005 Q3,81.4,450,6.5,4.2
2005 Q4,83.6,460,6.6,4.3
2006 Q1,86,470,6.7,4.4
2006 Q2,88.2,480,6.8,4.5
2006 Q3,90.4,490,6.9,4.6
2006 Q4,92.6,500,7,4.7
2007 Q1,95,510,7.1,4.8
2007 Q2,97.2,520,7.2,4.9
2007 Q3,99.4,530,7.3,5
2007 Q4,101.6,540,7.4,5.1
2008 Q1,104,550,7.5,5.2
2008 Q2,106.2,560,7.6,5.3
2008 Q3,108.4,570,7.7,5.4
2008 Q4,110.6,580,7.8,5.5
2009 Q1,113,590,7.9,5.6
2009 Q2,115.2,600,8,5.7
2009 Q3,117.4,610,8.1,5.8
2009 Q4,119.6,620,8.2,5.9
2010 Q1,122,630,8.3,6
2010 Q2,124.2,640,8.4,6.1
2010 Q3,126.4,650,8.5,6.2
2010 Q4,128.6,660,8.6,6.3
2011 Q1,131,670,8.7,6.4
2011 Q2,133.2,680,8.8,6.5
2011 Q3,135.4,690,8.9,6.6
2011 Q4,137.6,700,9,6.7
2012 Q1,140,710,9.1,6.8
2012 Q2,142.2,720,9.2,6.9
2012 Q3,144.4,730,9.3,7
2012 Q4,146.6,740,9.4,7.1
2013 Q1,149,750,9.5,7.2
2013 Q2,151.2,760,9.6,7.3
2013 Q3,153.4,770,9.7,7.4
2013 Q4,155.6,780,9.8,7.5
2014 Q1,158,790,9.9,7.6
2014 Q2,160.2,800,10,7.7
2014 Q3,162.4,810,10.1,7.8
2014 Q4,164.6,820,10.2,7.9
2015 Q1,177,860,10.5,8.2
2015 Q2,179.2,870,10.6,8.3
2015 Q3,181.4,880,10.7,8.4
2015 Q4,183.6,890,10.8,8.5
2016 Q1,186,900,10.9,8.6
2016 Q2,188.2,910,11,8.7
2016 Q3,190.4,920,11.1,8.8
2016 Q4,192.6,930,11.2,8.9
2017 Q1,195,940,11.3,9
2017 Q2,197.2,950,11.4,9.1
2017 Q3,199.4,960,11.5,9.2
2017 Q4,201.6,970,11.6,9.3
2018 Q1,204,980,11.7,9.4
2018 Q2,206.2,990,11.8,9.5
2018 Q3,208.4,1000,11.9,9.6
2018 Q4,210.6,1010,12,9.7
2019 Q1,213,1020,12.1,9.8
2019 Q2,215.2,1030,12.2,9.9
2019 Q3,217.4,1040,12.3,10
2019 Q4,219.6,1050,12.4,10.1
2020 Q1,222,1060,12.5,10.2
2020 Q2,224.2,1070,12.6,10.3
2020 Q3,226.4,1080,12.7,10.4
2020 Q4,228.6,1090,12.8,10.5
2020 Q1,231,1100,12.9,10.6
2020 Q2,233.2,1110,13,10.7
2020 Q3,235.4,1120,13.1,10.8
2020 Q4,237.6,1130,13.2,10.9
2021 Q1,240,1140,13.3,11
2021 Q2,242.2,1150,13.4,11.1
2021 Q3,244.4,1160,13.5,11.2
2021 Q4,246.6,1170,13.6,11.3
2022 Q1,249,1180,13.7,11.4
2022 Q2,251.2,1190,13.8,11.5
2022 Q3,253.4,1200,13.9,11.6
2022 Q4,255.6,1210,14,11.7
2023 Q1,258,1220,14.1,11.8
2023 Q2,260.2,1230,14.2,11.9
2023 Q3,262.4,1240,14.3,12
2023 Q4,264.6,1250,14.4,12.1
