DATE,NGDPRNSAXDCINQ
2004-04-01,11733600
2004-07-01,11859400
2004-10-01,13303400
2005-01-01,13824500
2005-04-01,12815900
2005-07-01,12860700
2005-10-01,14497100
2006-01-01,15256400
2006-04-01,13765000
2006-07-01,14177500
2006-10-01,15871100
2007-01-01,16751500
2007-04-01,15253000
2007-07-01,15473400
2007-10-01,17545100
2008-01-01,18229900
2008-04-01,16486000
2008-07-01,16515600
2008-10-01,17814300
2009-01-01,18272900
2009-04-01,17309300
2009-07-01,17664900
2009-10-01,19277100
2010-01-01,20696300
2010-04-01,19091100
2010-07-01,19374700
2010-10-01,21337900
2011-01-01,22833400
2011-04-01,21028600
2011-07-01,20428700
2011-10-01,22251400
2012-01-01,23654600
2012-04-01,22052200
2012-07-01,21959500
2012-10-01,23447700
2013-01-01,24670800
2013-04-01,23474000
2013-07-01,23570800
2013-10-01,24980000
2014-01-01,25989000
2014-04-01,25357500
2014-07-01,25622400
2014-10-01,26459500
2015-01-01,27837300
2015-04-01,27282800
2015-07-01,27680900
2015-10-01,28363900
2016-01-01,30367400
2016-04-01,29650900
2016-07-01,30357600
2016-10-01,30796200
2017-01-01,32277300
2017-04-01,31463400
2017-07-01,31972000
2017-10-01,32849900
2018-01-01,35160600
2018-04-01,33823000
2018-07-01,34036400
2018-10-01,34897600
2019-01-01,37172100
2019-04-01,35546400
2019-07-01,35499500
2019-10-01,36033800
2020-01-01,38266800
2020-04-01,27240200
2020-07-01,33467300
2020-10-01,36605800
2021-01-01,39557800
2021-04-01,33110500
2021-07-01,36516600
2021-10-01,38507700
2022-01-01,41123600
2022-04-01,37442900
2022-07-01,38780000
2022-10-01,40226300
2023-01-01,43615100
2023-04-01,40371400
