Quarterly Year,Total Automobiles,Total Automobiles Revenues,Employment,GDP Contribution Percentage from Automobiles
2003-Q1,1234567,12.34,1234567,1234567,2.34
2003-Q2,1345678,13.45,1345678,1345678,2.45
2003-Q3,1456789,14.56,1456789,1456789,2.56
2003-Q4,1567890,15.67,1567890,1567890,2.67
2004-Q1,1678901,16.78,1678901,1678901,2.78
2004-Q2,1789012,17.89,1789012,1789012,2.89
2004-Q3,1890123,18.90,1890123,1890123,2.90
2004-Q4,1901234,19.01,1901234,1901234,2.01
2005-Q1,2012345,20.12,2012345,2012345,3.12
2005-Q2,2123456,21.23,2123456,2123456,3.23
2005-Q3,2234567,22.34,2234567,2234567,3.34
2005-Q4,2345678,23.45,2345678,2345678,3.45
2006-Q1,2456789,24.56,2456789,2456789,3.56
2006-Q2,2567890,25.67,2567890,2567890,3.67
2006-Q3,2678901,26.78,2678901,2678901,3.78
2006-Q4,2789012,27.89,2789012,2789012,3.89
2007-Q1,2890123,28.90,2890123,2890123,3.90
2007-Q2,2901234,29.01,2901234,2901234,4.01
2007-Q3,3012345,30.12,3012345,3012345,4.12
2007-Q4,3123456,31.23,3123456,3123456,4.23
2008-Q1,3234567,32.34,3234567,3234567,4.34
2008-Q2,3345678,33.45,3345678,3345678,4.34
2008-Q3,3456789,34.56,3456789,3456789,4.45
2008-Q4,3567890,35.67,3567890,3567890,4.56
2009-Q1,3678901,36.78,3678901,3678901,4.67
2009-Q2,3789012,37.89,3789012,3789012,4.78
2009-Q3,3890123,38.90,3890123,3890123,4.89
2009-Q4,3901234,39.01,3901234,3901234,5.01
2010-Q1,4012345,40.12,4012345,4012345,5.12
2010-Q2,4123456,41.23,4123456,4123456,5.23
2010-Q3,4234567,42.34,4234567,4234567,5.34
2010-Q4,4345678,43.45,4345678,4345678,5.45
2011-Q1,4456789,44.56,4456789,4456789,5.56
2011-Q2,4567890,45.67,4567890,4567890,5.67
2011-Q3,4678901,46.78,4678901,4678901,5.78
2011-Q4,4789012,47.89,4789012,4789012,5.89
2012-Q1,4890123,48.90,4890123,4890123,5.90
2012-Q2,4901234,49.01,4901234,4901234,6.01
2012-Q3,5012345,50.12,5012345,5012345,6.12
2012-Q4,5123456,51.23,5123456,5123456,6.23
2013-Q1,5234567,52.34,5234567,5234567,6.34
2013-Q2,5345678,53.45,5345678,5345678,6.34
2013-Q3,5456789,54.56,5456789,5456789,6.45
2013-Q4,5567890,55.67,5567890,5567890,6.56
2014-Q1,5678901,56.78,5678901,5678901,6.67
2014-Q2,5789012,57.89,5789012,5789012,6.78
2014-Q3,5890123,58.90,5890123,5890123,6.89
2014-Q4,5901234,59.01,5901234,5901234,7.01
2015-Q1,6012345,60.12,6012345,6012345,7.12
2015-Q2,6123456,61.23,6123456,6123456,7.23
2015-Q3,6234567,62.34,6234567,6234567,7.34
2015-Q4,6345678,63.45,6345678,6345678,7.45
2016-Q1,6456789,64.56,6456789,6456789,7.56
2016-Q2,6567890,65.67,6567890,6567890,7.67
2016-Q3,6678901,66.78,6678901,6678901,7.78
2016-Q4,6789012,67.89,6789012,6789012,7.89
2017-Q1,6890123,68.90,6890123,6890123,7.90
2017-Q2,6901234,69.01,6901234,6901234,8.01
2017-Q3,7012345,70.12,7012345,7012345,8.12
2017-Q4,7123456,71.23,7123456,7123456,8.23
2018-Q1,7234567,72.34,7234567,7234567,8.34
2018-Q2,7345678,73.45,7345678,7345678,8.34
2018-Q3,7456789,74.56,7456789,7456789,8.45
2018-Q4,7567890,75.67,7567890,7567890,8.56
2019-Q1,7678901,76.78,7678901,7678901,8.67
2019-Q2,7789012,77.89,7789012,7789012,8.78
2019-Q3,7890123,78.90,7890123,7890123,8.89
2019-Q4,7901234,79.01,7901234,7901234,9.01
2020-Q1,8012345,80.12,8012345,8012345,9.12
2020-Q2,8123456,81.23,8123456,8123456,9.23
2020-Q3,8234567,82.34,8234567,8234567,9.34
2020-Q4,8345678,83.45,8345678,8345678,9.45
2021-Q1,8456789,84.56,8456789,8456789,9.56
2021-Q2,8567890,85.67,8567890,8567890,9.67
2021-Q3,8678901,86.78,8678901,8678901,9.78
2021-Q4,8789012,87.89,8789012,8789012,9.89
2022-Q1,8890123,88.90,8890123,8890123,9.90
2022-Q2,8901234,89.01,8901234,8901234,10.01
2022-Q3,9012345,90.12,9012345,9012345,10.12
2022-Q4,9123456,91.23,9123456,9123456,10.23
