Quarterly Year,Total Construction (in million USD),Total Construction Revenues (in million USD),Employment (in million people),GDP Contribution Percentage from Construction
2003-Q1,12345,45678,1.23,2.34
2003-Q2,13567,56789,1.35,2.56
2003-Q3,14789,67890,1.47,2.78
2003-Q4,16012,78901,1.6,3.01
2004-Q1,17234,89012,1.72,3.23
2004-Q2,18456,98123,1.84,3.45
2004-Q3,19678,107234,1.96,3.67
2004-Q4,20901,116345,2.09,3.9
2005-Q1,22123,125456,2.21,4.12
2005-Q2,23345,134567,2.33,4.34
2005-Q3,24567,143678,2.45,4.56
2005-Q4,25789,152789,2.57,4.78
2006-Q1,27012,161890,2.7,4.99
2006-Q2,28234,170901,2.82,5.21
2006-Q3,29456,180012,2.94,5.43
2006-Q4,30678,189123,3.06,5.65
2007-Q1,31890,198234,3.18,5.87
2007-Q2,33102,207345,3.31,6.09
2007-Q3,34314,216456,3.43,6.31
2007-Q4,35526,225567,3.55,6.53
2008-Q1,36738,234678,3.67,6.75
2008-Q2,38048,244007,3.79,6.97
2008-Q3,39360,253518,3.91,7.19
2008-Q4,40672,263029,4.03,7.41
2009-Q1,42044,272940,4.15,7.63
2009-Q2,43416,282951,4.27,7.85
2009-Q3,44788,292962,4.39,8.07
2009-Q4,46160,303073,4.51,8.29
2010-Q1,47632,313834,4.63,8.51
2010-Q2,49104,324945,4.75,8.73
2010-Q3,50576,336056,4.87,8.95
2010-Q4,52048,347167,4.99,9.17
2011-Q1,53616,358778,5.11,9.39
2011-Q2,55184,370889,5.23,9.61
2011-Q3,56752,382990,5.35,9.83
2011-Q4,58320,395001,5.47,10.05
2012-Q1,59968,407662,5.59,10.27
2012-Q2,61636,420773,5.71,10.49
2012-Q3,63304,433884,5.83,10.71
2012-Q4,64972,447095,5.95,10.93
2013-Q1,66700,460856,6.07,11.15
2013-Q2,68428,474967,6.19,11.37
2013-Q3,70156,489078,6.31,11.59
2013-Q4,71884,503189,6.43,11.81
2014-Q1,73704,517850,6.55,12.03
2014-Q2,75572,533061,6.67,12.25
2014-Q3,77508,550172,6.79,12.47
2014-Q4,79444,567283,6.91,12.69
2015-Q1,81476,585044,7.03,12.91
2015-Q2,83596,604355,7.15,13.13
2015-Q3,85716,623666,7.27,13.35
2015-Q4,87836,642977,7.39,13.57
2016-Q1,90056,663538,7.51,13.79
2016-Q2,92272,684649,7.63,14.01
2016-Q3,94408,706210,7.75,14.23
2016-Q4,96620,728321,7.87,14.45
2017-Q1,99032,751432,8.0,14.67
2017-Q2,101444,775093,8.12,14.89
2017-Q3,103856,799204,8.24,15.11
2017-Q4,106268,823315,8.36,15.33
2018-Q1,109088,851976,8.48,15.55
2018-Q2,112004,885637,8.6,15.77
2018-Q3,115068,920348,8.72,15.99
2018-Q4,118392,956509,8.84,16.21
2019-Q1,122084,996120,8.96,16.43
2019-Q2,124472,1037581,9.08,16.65
2019-Q3,127008,1083542,9.2,16.87
2019-Q4,129544,1130053,9.32,17.09
2020-Q1,132176,1177214,9.44,17.31
2020-Q2,126320,1117975,9.32,16.93
2020-Q3,122108,1051936,9.16,16.55
2020-Q4,119740,991697,9.04,16.31
2021-Q1,118112,939308,8.92,16.03
2021-Q2,120164,981169,8.96,16.25
2021-Q3,122760,1024830,9.08,16.47
2021-Q4,126032,1072041,9.2,16.69
2022-Q1,129408,1123202,9.32,16.91
2022-Q2,132784,1176113,9.44,17.13
2022-Q3,136160,1232074,9.56,17.35
2022-Q4,139536,1288035,9.68,17.57
