Quarter,Total Electricity Production (GWh),Total Electricity Revenues (Rs. Crore),Employment (Millions),GDP Contribution Percentage from Electricity
2003-Q1,88000,20000,1.5,2.5
2003-Q2,86000,19000,1.4,2.4
2003-Q3,92000,21000,1.5,2.6
2003-Q4,89000,20000,1.5,2.5
2004-Q1,91000,21000,1.6,2.6
2004-Q2,90000,20000,1.6,2.5
2004-Q3,96000,22000,1.6,2.7
2004-Q4,94000,21000,1.6,2.6
2005-Q1,101000,23000,1.7,2.8
2005-Q2,98000,22000,1.7,2.7
2005-Q3,104000,24000,1.8,2.9
2005-Q4,100000,23000,1.8,2.8
2006-Q1,110000,25000,1.9,3.0
2006-Q2,106000,24000,1.9,2.9
2006-Q3,116000,27000,2.0,3.1
2006-Q4,112000,25000,2.0,3.0
2007-Q1,124000,28000,2.1,3.2
2007-Q2,119000,27000,2.1,3.1
2007-Q3,133000,31000,2.2,3.4
2007-Q4,127000,29000,2.2,3.3
2008-Q1,138000,32000,2.3,3.5
2008-Q2,131000,30000,2.3,3.4
2008-Q3,149000,35000,2.4,3.7
2008-Q4,142000,33000,2.4,3.6
2009-Q1,152000,35000,2.5,3.8
2009-Q2,143000,33000,2.5,3.6
2009-Q3,161000,37000,2.6,3.9
2009-Q4,167000,39000,2.7,4.0
2010-Q1,175000,41000,2.8,4.2
2010-Q2,169000,39000,2.8,4.1
2010-Q3,185000,43000,2.9,4.4
2010-Q4,178000,41000,2.9,4.3
2011-Q1,194000,45000,3.0,4.6
2011-Q2,186000,43000,3.0,4.5
2011-Q3,207000,48000,3.1,4.8
2011-Q4,199000,46000,3.1,4.7
2012-Q1,216000,50000,3.2,5.1
2012-Q2,208000,48000,3.2,5.0
2012-Q3,232000,53000,3.3,5.3
2012-Q4,223000,51000,3.3,5.2
2013-Q1,242000,56000,3.4,5.5
2013-Q2,234000,54000,3.4,5.4
2013-Q3,258000,60000,3.5,5.8
2013-Q4,251000,58000,3.5,5.7
2014-Q1,271000,63000,3.6,6.1
2014-Q2,263000,61000,3.6,6.0
2014-Q3,289000,66000,3.7,6.4
2014-Q4,282000,64000,3.7,6.3
2015-Q1,297000,68000,3.8,6.6
2015-Q2,289000,66000,3.8,6.5
2015-Q3,314000,72000,3.9,6.9
2015-Q4,307000,70000,3.9,6.8
2016-Q1,329000,75000,4.0,7.2
2016-Q2,319000,73000,4.0,7.1
2016-Q3,348000,80000,4.1,7.5
2016-Q4,339000,78000,4.1,7.4
2017-Q1,368000,84000,4.2,7.8
2017-Q2,356000,82000,4.2,7.7
2017-Q3,391000,90000,4.3,8.1
2017-Q4,380000,88000,4.3,8.0
2018-Q1,416000,96000,4.4,8.5
2018-Q2,403000,93000,4.4,8.4
2018-Q3,448000,103000,4.5,8.9
2018-Q4,437000,100000,4.5,8.8
2019-Q1,472000,109000,4.6,9.3
2019-Q2,459000,106000,4.6,9.2
2019-Q3,509000,116000,4.7,9.7
2019-Q4,496000,114000,4.7,9.6
2020-Q1,535000,123000,4.8,10.1
2020-Q2,489000,114000,4.8,10.0
2020-Q3,537000,125000,4.9,10.3
2020-Q4,521000,122000,4.9,10.2
2021-Q1,600000,139000,5.0,11.0
2021-Q2,575000,134000,5.0,10.8
2021-Q3,642000,150000,5.1,11.6
2021-Q4,625000,147000,5.1,11.5
2022-Q1,679000,160000,5.2,12.1
2022-Q2,654000,154000,5.2,11.9
2022-Q3,642000,150000,5.1,11.6
2022-Q4,625000,147000,5.1,11.5
