Quarterly Year,Total Food Processing in metric tonnes,Total Food Processing revenues,Employment in units,GDP Contribution Percentage from Food Processing
2003-Q1,"374,000","1,234,000","1,234,000",2.30
2003-Q2,"387,000","1,300,000","1,300,000",2.40
2003-Q3,"421,000","1,420,000","1,420,000",2.60
2003-Q4,"453,000","1,550,000","1,550,000",2.80
2004-Q1,"487,000","1,700,000","1,700,000",3.00
2004-Q2,"514,000","1,830,000","1,830,000",3.20
2004-Q3,"555,000","2,000,000","2,000,000",3.50
2004-Q4,"607,000","2,200,000","2,200,000",3.80
2005-Q1,"662,000","2,400,000","2,400,000",4.20
2005-Q2,"719,000","2,620,000","2,620,000",4.60
2005-Q3,"788,000","2,900,000","2,900,000",5.10
2005-Q4,"874,000","3,200,000","3,200,000",5.60
2006-Q1,"983,000","3,560,000","3,560,000",6.30
2006-Q2,"1,091,000","4,000,000","4,000,000",7.00
2006-Q3,"1,226,000","4,500,000","4,500,000",7.90
2006-Q4,"1,394,000","5,100,000","5,100,000",9.00
2007-Q1,"1,598,000","5,800,000","5,800,000",10.20
2007-Q2,"1,825,000","6,600,000","6,600,000",11.60
2007-Q3,"2,100,000","7,500,000","7,500,000",13.20
2007-Q4,"2,450,000","8,800,000","8,800,000",15.50
2008-Q1,"2,853,000","10,300,000","10,300,000",18.20
2008-Q2,"3,200,000","11,600,000","11,600,000",20.50
2008-Q3,"3,586,000","13,200,000","13,200,000",23.30
2008-Q4,"4,000,000","15,000,000","15,000,000",26.50
2009-Q1,"4,453,000","16,800,000","16,800,000",29.90
2009-Q2,"4,942,000","18,600,000","18,600,000",33.20
2009-Q3,"5,479,000","20,500,000","20,500,000",36.80
2009-Q4,"6,072,000","22,500,000","22,500,000",40.30
2010-Q1,"6,723,000","24,600,000","24,600,000",43.90
2010-Q2,"7,431,000","26,800,000","26,800,000",47.60
2010-Q3,"8,205,000","29,200,000","29,200,000",51.50
2010-Q4,"9,045,000","31,800,000","31,800,000",55.60
2011-Q1,"9,952,000","34,500,000","34,500,000",59.80
2011-Q2,"10,926,000","37,400,000","37,400,000",64.30
2011-Q3,"11,975,000","40,500,000","40,500,000",69.00
2011-Q4,"13,100,000","43,800,000","43,800,000",73.90
2012-Q1,"14,307,000","47,300,000","47,300,000",79.00
2012-Q2,"15,592,000","51,000,000","51,000,000",84.30
2012-Q3,"16,947,000","55,000,000","55,000,000",89.80
2012-Q4,"18,381,000","60,000,000","60,000,000",95.50
2013-Q1,"19,893,000","65,300,000","65,300,000",101.40
2013-Q2,"21,490,000","71,000,000","71,000,000",107.50
2013-Q3,"23,168,000","77,400,000","77,400,000",113.80
2013-Q4,"24,932,000","84,000,000","84,000,000",120.30
2014-Q1,"26,790,000","91,000,000","91,000,000",127.00
2014-Q2,"28,741,000","98,800,000","98,800,000",134.00
2014-Q3,"30,790,000","107,000,000","107,000,000",141.30
2014-Q4,"32,944,000","116,000,000","116,000,000",148.80
2015-Q1,"35,204,000","126,000,000","126,000,000",156.50
2015-Q2,"37,575,000","137,000,000","137,000,000",164.40
2015-Q3,"40,062,000","149,000,000","149,000,000",172.60
2015-Q4,"42,666,000","162,000,000","162,000,000",181.00
2016-Q1,"45,454,000","178,000,000","190,000,000",189.40
2016-Q2,"48,371,000","194,000,000","203,000,000",198.00
2016-Q3,"51,388,000","211,000,000","216,000,000",206.80
2016-Q4,"54,505,000","229,000,000","229,000,000",215.80
2017-Q1,"57,722,000","248,000,000","242,000,000",225.00
2017-Q2,"61,036,000","268,000,000","255,000,000",234.40
2017-Q3,"64,449,000","289,000,000","268,000,000",244.00
2017-Q4,"67,962,000","311,000,000","281,000,000",253.80
2018-Q1,"71,576,000","334,000,000","294,000,000",263.80
2018-Q2,"75,290,000","358,000,000","307,000,000",274.00
2018-Q3,"79,104,000","383,000,000","320,000,000",284.40
2018-Q4,"83,017,000","409,000,000","333,000,000",295.00
2019-Q1,"86,930,000","436,000,000","346,000,000",305.80
2019-Q2,"90,943,000","464,000,000","359,000,000",316.80
2019-Q3,"94,957,000","493,000,000","372,000,000",328.00
2019-Q4,"99,070,000","523,000,000","385,000,000",339.40
2020-Q1,"103,283,000","554,000,000","398,000,000",351.00
2020-Q2,"107,597,000","586,000,000","411,000,000",362.20
2020-Q3,"112,012,000","619,000,000","424,000,000",373.60
2020-Q4,"116,528,000","653,000,000","437,000,000",385.20
2021-Q1,"121,146,000","688,000,000","450,000,000",396.80
2021-Q2,"125,864,000","724,000,000","463,000,000",408.60
2021-Q3,"130,682,000","761,000,000","476,000,000",420.60
2021-Q4,"135,599,000","800,000,000","489,000,000",432.80
2022-Q1,"140,617,000","839,000,000","502,000,000",445.20
2022-Q2,"145,735,000","879,000,000","515,000,000",457.80
2022-Q3,"150,954,000","919,000,000","528,000,000",470.60
2022-Q4,"156,273,000","960,000,000","541,000,000",483.60
