Quarterly Year,Total Mining (Thousand Tonnes),Total Mining Revenues (Million Rupees),Employment (Thousand),GDP Contribution Percentage from Mining (%)
2003-Q1,30000,10000,500,2.5
2003-Q2,32000,12000,520,2.7
2003-Q3,35000,14000,540,2.9
2003-Q4,38000,16000,560,3.1
2004-Q1,42000,18000,580,3.3
2004-Q2,45000,20000,600,3.5
2004-Q3,48000,22000,620,3.7
2004-Q4,52000,24000,640,3.9
2005-Q1,55000,26000,660,4.1
2005-Q2,58000,28000,680,4.3
2005-Q3,62000,30000,700,4.5
2005-Q4,65000,32000,720,4.7
2006-Q1,70000,34000,740,4.9
2006-Q2,75000,36000,760,5.1
2006-Q3,80000,38000,780,5.3
2006-Q4,85000,40000,800,5.5
2007-Q1,90000,42000,820,5.7
2007-Q2,95000,44000,840,5.9
2007-Q3,100000,46000,860,6.1
2007-Q4,105000,48000,880,6.3
2008-Q1,110000,50000,900,6.5
2008-Q2,115000,52000,920,6.7
2008-Q3,120000,54000,940,6.9
2008-Q4,125000,56000,960,7.1
2009-Q1,130000,58000,980,7.3
2009-Q2,135000,60000,1000,7.5
2009-Q3,140000,62000,1020,7.7
2009-Q4,145000,64000,1040,7.9
2010-Q1,150000,66000,1060,8.1
2010-Q2,155000,68000,1080,8.3
2010-Q3,160000,70000,1100,8.5
2010-Q4,165000,72000,1120,8.7
2011-Q1,170000,74000,1140,8.9
2011-Q2,175000,76000,1160,9.1
2011-Q3,180000,78000,1180,9.3
2011-Q4,185000,80000,1200,9.5
2012-Q1,190000,82000,1220,9.7
2012-Q2,195000,84000,1240,9.9
2012-Q3,200000,86000,1260,10.1
2012-Q4,205000,88000,1280,10.3
2013-Q1,210000,90000,1300,10.5
2013-Q2,215000,92000,1320,10.7
2013-Q3,220000,94000,1340,10.9
2013-Q4,225000,96000,1360,11.1
2014-Q1,230000,98000,1380,11.3
2014-Q2,235000,100000,1400,11.5
2014-Q3,240000,102000,1420,11.7
2014-Q4,245000,104000,1440,11.9
2015-Q1,250000,106000,1460,12.1
2015-Q2,255000,108000,1480,12.3
2015-Q3,260000,110000,1500,12.5
2015-Q4,265000,112000,1520,12.7
2016-Q1,270000,114000,1540,12.9
2016-Q2,275000,116000,1560,13.1
2016-Q3,280000,118000,1580,13.3
2016-Q4,285000,120000,1600,13.5
2017-Q1,290000,122000,1620,13.7
2017-Q2,295000,124000,1640,13.9
2017-Q3,300000,126000,1660,14.1
2017-Q4,305000,128000,1680,14.3
2018-Q1,310000,130000,1700,14.5
2018-Q2,315000,132000,1720,14.7
2018-Q3,320000,134000,1740,14.9
2018-Q4,325000,136000,1760,15.1
2019-Q1,330000,138000,1780,15.3
2019-Q2,335000,140000,1800,15.5
2019-Q3,340000,142000,1820,15.7
2019-Q4,345000,144000,1840,15.9
2020-Q1,350000,146000,1860,16.1
2020-Q2,355000,148000,1880,16.3
2020-Q3,360000,150000,1900,16.5
2020-Q4,365000,152000,1920,16.7
2021-Q1,370000,154000,1940,16.9
2021-Q2,375000,156000,1960,17.1
2021-Q3,380000,158000,1980,17.3
2021-Q4,385000,160000,2000,17.5
2022-Q2,390000,162000,2020,17.7
2022-Q3,395000,164000,2040,17.9
2022-Q4,400000,166000,2060,18.1
