Quarterly Year,Total Telecommunication Services (USD Billion),Total Telecommunication Revenues (USD Billion),Employment (Million),GDP Contribution Percentage from Telecommunications
2003-Q1,24,3.2,0.8,2.4
2003-Q2,25,3.4,0.8,2.5
2003-Q3,27,3.6,0.9,2.6
2003-Q4,29,3.8,0.9,2.7
2004-Q1,31,4,1,2.8
2004-Q2,33,4.2,1,2.9
2004-Q3,35,4.4,1.1,3
2004-Q4,38,4.6,1.1,3.1
2005-Q1,41,4.8,1.2,3.2
2005-Q2,44,5,1.2,3.3
2005-Q3,47,5.2,1.3,3.4
2005-Q4,50,5.4,1.3,3.5
2006-Q1,54,5.6,1.4,3.6
2006-Q2,58,5.8,1.4,3.7
2006-Q3,62,6,1.5,3.8
2006-Q4,66,6.2,1.5,3.9
2007-Q1,71,6.4,1.6,4
2007-Q2,76,6.6,1.6,4.1
2007-Q3,81,6.8,1.7,4.2
2007-Q4,86,7,1.7,4.3
2008-Q1,92,7.4,1.8,4.4
2008-Q2,98,7.6,1.8,4.5
2008-Q3,104,7.8,1.9,4.6
2008-Q4,110,8,1.9,4.7
2009-Q1,117,8.2,2,4.8
2009-Q2,124,8.4,2,4.9
2009-Q3,131,8.6,2.1,5
2009-Q4,139,8.8,2.1,5.1
2010-Q1,147,9,2.2,5.2
2010-Q2,155,9.2,2.2,5.3
2010-Q3,163,9.4,2.3,5.4
2010-Q4,172,9.6,2.3,5.5
2011-Q1,182,9.8,2.4,5.6
2011-Q2,191,10,2.4,5.7
2011-Q3,200,10.2,2.5,5.8
2011-Q4,210,10.4,2.5,5.9
2012-Q1,221,10.6,2.6,6
2012-Q2,232,10.8,2.6,6.1
2012-Q3,243,11,2.7,6.2
2012-Q4,254,11.2,2.7,6.3
2013-Q1,266,11.4,2.8,6.4
2013-Q2,278,11.6,2.8,6.5
2013-Q3,290,11.8,2.9,6.6
2013-Q4,303,12,2.9,6.7
2014-Q1,317,12.2,3,6.8
2014-Q2,331,12.4,3,6.9
2014-Q3,345,12.6,3.1,7
2014-Q4,360,12.8,3.1,7.1
2015-Q1,376,13,3.2,7.2
2015-Q2,392,13.2,3.2,7.3
2015-Q3,408,13.4,3.3,7.4
2015-Q4,425,13.6,3.3,7.5
2016-Q1,444,13.8,3.4,7.6
2016-Q2,463,14,3.4,7.7
2016-Q3,482,14.2,3.5,7.8
2016-Q4,502,14.4,3.5,7.9
2017-Q1,523,14.6,3.6,8
2017-Q2,544,14.8,3.6,8.1
2017-Q3,566,15,3.7,8.2
2017-Q4,588,15.2,3.7,8.3
2018-Q1,611,15.4,3.8,8.4
2018-Q2,634,15.6,3.8,8.5
2018-Q3,657,15.8,3.9,8.6
2018-Q4,681,16,3.9,8.7
2019-Q1,706,16.2,4,8.8
2019-Q2,731,16.4,4,8.9
2019-Q3,756,16.6,4.1,9
2019-Q4,782,16.8,4.1,9.1
2020-Q1,809,17,4.2,9.2
2020-Q2,767,16.6,4.1,8.9
2020-Q3,794,17,4.2,9
2020-Q4,822,17.2,4.3,9.1
2021-Q1,851,17.4,4.4,9.2
2021-Q2,880,17.6,4.5,9.3
2021-Q3,909,17.8,4.6,9.4
2021-Q4,938,18,4.7,9.5
2022-Q1,967,18,4.8,9.6
